-	Assange	-	proper	8	-	-	-	-	-
-	Assmann	-	proper	5	-	-	-	-	-
-	Astala	-	proper	12	-	-	-	-	-
-	Aston	-	proper	6	-	-	-	-	-
-	Asunta	-	proper	10	-	-	-	-	-
-	Atanasov	-	proper	5	-	-	-	-	-
-	Atkins	-	proper	5	-	-	-	-	-
-	Attwooll	-	proper	5	-	-	-	-	-
-	Aubert	-	proper	5	-	-	-	-	-
-	Auer	-	proper	6	-	-	-	-	-
-	Auer	-	proper	49	t:	-	-	-	-
-	Aulanko	-	proper	1	nk:ng	-	-	-	-
-	Aunio	-	proper	3	-	-	-	-	-
-	Aunli	-	proper	5	-	-	-	-	-
-	Aura	-	proper	9	-	-	-	-	-
-	Autere	-	proper	8	-	-	-	-	-
-	Autio	-	proper	3	-	-	-	-	-
-	Auvinen	-	proper	38	-	-	-	-	-
-	Avellan	-	proper	5	-	-	-	-	-
-	Avikainen	-	proper	38	-	-	-	-	-
-	Avogadro	-	proper	1	-	-	-	-	-
-	Axelsson	-	proper	5	-	-	-	-	-
-	Ayala	-	proper	9	-	-	-	-	-
-	Azevedo	-	proper	1	-	-	-	-	-
-	Babbage	-	proper	8	-	-	-	-	-
-	Babitski	-	proper	5	-	-	-	-	-
-	Babitzin	-	proper	5	-	-	-	-	-
-	Bach	-	proper	5	-	-	-	-	-
-	Back	-	proper	5	-	-	-	-	-
-	Backlund	-	proper	5	-	-	-	-	-
-	Backman	-	proper	5	-	-	-	-	-
-	Bacon	-	proper	6	-	-	-	-	-
-	Badea	-	proper	12	-	-	-	-	-
-	Baer	-	proper	5	-	-	-	-	-
-	Bagh	-	proper	5	-	-	-	-	-
-	Bahdanovitš	-	proper	5	-	-	-	-	-
-	Bahne	-	proper	8	-	-	-	-	-
-	Bailly	-	proper	1	-	front|back	-	-	-
-	Baker	-	proper	6	-	-	-	-	-
-	Bakke	-	proper	8	-	-	-	-	-
-	Baldi	-	proper	5	-	-	-	-	-
-	Baldini	-	proper	5	-	-	-	-	-
-	Baldwin	-	proper	5	-	-	-	-	-
-	Balogh	-	proper	5	-	-	-	-	-
-	Balotelli	-	proper	5	-	-	-	-	-
-	Banks	-	proper	5	-	-	-	-	-
-	Banotti	-	proper	5	-	-	-	-	-
-	Banér	-	proper	5	-	-	-	-	-
-	Barbaro	-	proper	2	-	-	-	-	-
-	Barck	-	proper	5	-	-	-	-	-
-	Bargum	-	proper	5	-	-	-	-	-
-	Barker	-	proper	6	-	-	-	-	-
-	Barkov	-	proper	5	-	-	-	-	-
-	Barks	-	proper	5	-	-	-	-	-
-	Barnes	-	proper	39	-	-	-	-	-
-	Barnett	-	proper	5	-	-	-	-	-
-	Barnier	-	proper	22|5	-	-	-	-	-
-	Barrett	-	proper	5	-	-	-	-	-
-	Barrichello	-	proper	1	-	-	-	-	-
-	Barrière	-	proper	8	-	-	-	-	-
-	Barroso	-	proper	1	-	-	-	-	-
-	Bartoli	-	proper	5	-	-	-	-	-
-	Barón	-	proper	5	-	-	-	-	-
-	Bashar	-	proper	6	-	-	-	-	-
-	Basilier	-	proper	5	-	-	-	-	-
-	Basset	-	proper	22|†5	-	-	-	-	-
-	Bassi	-	proper	5	-	-	-	-	-
-	Batten	-	proper	6	-	-	-	-	-
-	Bauer	-	proper	6	-	-	-	-	-
-	Baumann	-	proper	5	-	-	-	-	-
-	Baumgartner	-	proper	6	-	-	-	-	-
-	Bayard	-	proper	5	-	-	-	-	-
-	Bazin	-	proper	5	-	-	-	-	-
-	Bašar	-	proper	5	-	-	-	-	-
-	Beamish	-	proper	5	-	-	-	-	-
-	Beck	-	proper	5	-	-	-	-	-
-	Beckenbauer	-	proper	6	-	-	-	-	-
-	Becker	-	proper	6	-	-	-	-	-
-	Becket	-	proper	5	-	-	-	-	-
-	Beckett	-	proper	5	-	-	-	-	-
-	Beckham	-	proper	5	-	-	-	-	-
-	Becquerel	-	proper	5	-	-	-	-	-
-	Bedford	-	proper	5	-	-	-	-	-
-	Bednarek	-	proper	5	-	-	-	-	-
-	Beek	-	proper	5	-	-	-	-	-
-	Beer	-	proper	5	-	-	-	-	-
-	Beethoven	-	proper	6	-	-	-	-	-
-	Behm	-	proper	5	-	-	-	-	-
-	Behrens	-	proper	5	-	-	-	-	-
-	Belder	-	proper	6	-	-	-	-	-
-	Bell	-	proper	5	-	-	-	-	-
-	Bellini	-	proper	5	-	-	-	-	-
-	Belov	-	proper	5	-	-	-	-	-
-	Below	-	proper	22|†5	-	-	u	-	-
-	Bender	-	proper	6	-	-	-	-	-
-	Benedek	-	proper	5	-	-	-	-	-
-	Bengts	-	proper	5	-	-	-	-	-
-	Bengtsson	-	proper	5	-	-	-	-	-
-	Bennett	-	proper	5	-	-	-	-	-
-	Bento	-	proper	1	-	-	-	-	-
-	Benz	-	proper	5	-	-	-	-	-
-	Berend	-	proper	5	-	-	-	-	-
-	Berenguer	-	proper	22|5	-	-	-	-	-
-	Beresford	-	proper	5	-	-	-	-	-
-	Berg	-	proper	5	-	-	-	-	-
-	Bergbom	-	proper	5	-	-	-	-	-
-	Bergenheim	-	proper	5	-	-	-	-	-
-	Berger	-	proper	6	-	-	-	-	-
-	Berget	-	proper	5	-	-	-	-	-
-	Berggren	-	proper	5	-	-	-	-	-
-	Bergh	-	proper	5	-	-	-	-	-
-	Bergholm	-	proper	5	-	-	-	-	-
-	Berghäll	-	proper	5	-	-	-	-	-
-	Bergius	-	proper	39	-	-	-	-	-
-	Bergkvist	-	proper	5	-	-	-	-	-
-	Berglund	-	proper	5	-	-	-	-	-
-	Bergman	-	proper	5	-	-	-	-	-
-	Bergmann	-	proper	5	-	-	-	-	-
-	Bergqvist	-	proper	5	-	-	-	-	-
