-	asymptomaattinen	-	adjective	38	-	-	-	-	-
-	asymptoottinen	-	adjective	38	-	-	-	-	-
-	asyndeettinen	-	adjective	38	-	-	-	-	-
-	asynkroninen	-	adjective	38	-	-	-	-	-
-	ataktinen	-	adjective	38	-	-	-	-	-
-	atavistinen	-	adjective	38	-	back	-	-	-
-	ateenalainen	-	adjective	38	-	-	-	-	-
-	ateistinen	-	adjective	38	-	front|back	-	-	-
-	ateroskleroottinen	-	adjective	38	-	-	-	-	-
-	atlantalainen	-	adjective	38	-	-	-	-	-
-	atlantti	-	adjective	5	tt:t	-	-	-	-
-	atlanttinen	-	adjective	38	-	back	-	-	-
-	atleettinen	-	adjective	38	-	back	-	-	-
-	atomaarinen	-	adjective	38	-	back	-	-	-
-	atomistinen	-	adjective	38	-	back	-	-	-
-	atonaalinen	-	adjective	38	-	-	-	-	-
-	atooppinen	-	adjective	38	-	back	-	-	-
-	atrofinen	-	adjective	38	-	-	-	-	-
-	attraktiivinen	-	adjective	38	-	back	-	-	-
-	atyyppinen	-	adjective	38	-	front	-	-	-
-	auditiivinen	-	adjective	38	-	back	-	-	-
-	aukea	-	adjective	15	-	back	-	-	-
-	aukinainen	-	adjective	38	-	back	-	-	-
-	aukkoinen	-	adjective	38	-	back	-	-	-
-	aukoton	-	adjective	34	tt:t	back	-	-	-
-	auktoritaarinen	-	adjective	38	-	back	-	-	-
-	auktoritatiivinen	-	adjective	38	-	back	-	-	-
-	aulis	-	adjective	41	-	back	-	-	-
-	auralainen	-	adjective	38	-	-	-	-	-
-	auringoton	-	adjective	34	tt:t	back	-	-	-
-	aurinkoinen	-	adjective	38	-	back	-	-	-
-	auropalpebraalinen	-	adjective	38	-	-	-	-	-
-	australialainen	-	adjective	38	-	back	-	-	-
-	autenttinen	-	adjective	38	-	back	-	-	-
-	autereinen	-	adjective	38	-	back	-	-	-
-	autio	-	adjective	3	-	back	-	-	-
-	autistinen	-	adjective	38	-	back	-	-	-
-	autobiografinen	-	adjective	38	-	-	-	-	-
-	autodynaaminen	-	adjective	38	-	-	-	-	-
-	autokefaalinen	-	adjective	38	-	-	-	-	-
-	autokraattinen	-	adjective	38	-	-	-	-	-
-	automaattinen	-	adjective	38	-	back	-	-	-
-	autonominen	-	adjective	38	-	back	-	-	-
-	autoritaarinen	-	adjective	38	-	back	-	-	-
-	autoritatiivinen	-	adjective	38	-	-	-	-	-
-	autoritäärinen	-	adjective	38	-	front	-	-	-
-	autosomaalinen	-	adjective	38	-	-	-	-	-
-	autoton	-	adjective	34	tt:t	back	-	-	-
-	auttamaton	-	adjective	34	tt:t	back	-	-	-
-	auttava	-	adjective	10	-	back	-	-	-
-	auttavainen	-	adjective	38	-	back	-	-	-
-	autuaallinen	-	adjective	38	-	back	-	-	-
-	autuas	-	adjective	41	-	back	-	-	-
-	auvoinen	-	adjective	38	-	back	-	poet	-
-	auvoisa	-	adjective	10	-	back	-	poet	-
-	avantgardistinen	-	adjective	38	-	back	-	-	-
-	avara	-	adjective	10	-	back	-	-	-
-	avaruudellinen	-	adjective	38	-	back	-	-	-
-	aviollinen	-	adjective	38	-	back	-	-	-
-	avioton	-	adjective	34	tt:t	back	-	-	-
-	avirulentti	-	adjective	5	tt:t	-	-	-	-
-	avo	-	adjective	1	-	-	-	rare	-
-	avoin	-	adjective	33	-	back	-	-	-
-	avonainen	-	adjective	38	-	back	-	-	-
-	avulias	-	adjective	41	-	back	-	-	-
-	avuton	-	adjective	34	tt:t	back	-	-	-
-	azerbaidžanilainen	-	adjective	38	-	back	-	-	-
-	ašgabatilainen	-	adjective	38	-	-	-	-	-
-	ašhabadilainen	-	adjective	38	-	-	-	-	-
-	baabelilainen	-	adjective	38	-	-	-	dated	-
-	babylonialainen	-	adjective	38	-	back	-	-	-
-	bagdadilainen	-	adjective	38	-	-	-	-	-
-	bahamalainen	-	adjective	38	-	-	-	-	-
-	bahrainilainen	-	adjective	38	-	-	-	-	-
-	baijerilainen	-	adjective	38	-	-	-	-	-
-	bakteeriton	-	adjective	34	tt:t	back	-	-	-
-	bakteriaalinen	-	adjective	38	-	-	-	-	-
-	bakteriologinen	-	adjective	38	-	back	-	-	-
-	bakterisidinen	-	adjective	38	-	-	-	-	-
-	bakulainen	-	adjective	38	-	-	-	-	-
-	balkanilainen	-	adjective	38	-	-	-	-	-
-	ballistinen	-	adjective	38	-	back	-	-	-
-	baltialainen	-	adjective	38	-	back	-	-	-
-	balttilainen	-	adjective	38	-	back	-	-	-
-	bamakolainen	-	adjective	38	-	-	-	-	-
-	banaali	-	adjective	6	-	back	-	-	-
-	bangkokilainen	-	adjective	38	-	-	-	-	-
-	bangladeshilainen	-	adjective	38	-	-	-	-	-
-	banguilainen	-	adjective	38	-	-	-	-	-
-	banjulilainen	-	adjective	38	-	-	-	-	-
-	barbaarimainen	-	adjective	38	-	back	-	-	-
-	barbaarinen	-	adjective	38	-	back	-	-	-
-	barbadosilainen	-	adjective	38	-	-	-	-	-
-	barbadoslainen	-	adjective	38	-	-	-	-	-
-	bariatrinen	-	adjective	38	-	-	-	-	-
-	barokkinen	-	adjective	38	-	-	-	-	-
-	basaali	-	adjective	6	-	-	-	-	-
-	basaalinen	-	adjective	38	-	-	-	-	-
-	basillaarinen	-	adjective	38	-	-	-	-	-
-	baskilainen	-	adjective	38	-	back	-	-	-
-	basseterrelainen	-	adjective	38	-	-	-	-	-
-	batistinen	-	adjective	38	-	back	-	-	-
-	bayesilainen	-	adjective	38	-	-	-	-	-
-	bayesiläinen	-	adjective	38	-	-	-	-	-
-	beesi	-	adjective	5	-	front	-	-	-
-	behavioristinen	-	adjective	38	-	back	-	-	-
-	beige	-	adjective	8	-	front	-	-	-
-	beijingiläinen	-	adjective	38	-	-	-	-	-
-	beirutilainen	-	adjective	38	-	-	-	-	-
-	belfastilainen	-	adjective	38	-	-	-	-	-
-	belgialainen	-	adjective	38	-	-	-	-	-
-	belgradilainen	-	adjective	38	-	-	-	-	-
-	belizeläinen	-	adjective	38	-	-	-	-	-
-	belmopanilainen	-	adjective	38	-	-	-	-	-
-	benigni	-	adjective	5	-	front	-	-	-
-	beniniläinen	-	adjective	38	-	-	-	-	-
-	berliiniläinen	-	adjective	38	-	-	-	-	-
-	berliininsininen	-	adjective	38	-	-	-	-	-
-	berniläinen	-	adjective	38	-	-	-	-	-
-	betoninen	-	adjective	38	-	back	-	-	-
-	bhutanilainen	-	adjective	38	-	-	-	-	-
-	biafralainen	-	adjective	38	-	-	-	-	-
-	bibliografinen	-	adjective	38	-	back	-	-	-
-	bigaaminen	-	adjective	38	-	back	-	-	-
-	bikuspidaalinen	-	adjective	38	-	-	-	-	-
-	bilateraalinen	-	adjective	38	-	-	-	-	-
-	biliaarinen	-	adjective	38	-	-	-	-	-
-	bimanuaalinen	-	adjective	38	-	-	-	-	-
-	bimbo	-	adjective	1	-	back	-	coll	-
-	bimodaalinen	-	adjective	38	-	-	-	-	-
-	binaarinen	-	adjective	38	-	back	-	-	-
-	binokulaarinen	-	adjective	38	-	-	-	-	-
-	binominen	-	adjective	38	-	-	-	-	-
-	binäärinen	-	adjective	38	-	front	-	-	-
-	biodynaaminen	-	adjective	38	-	-	-	-	-
-	bioeettinen	-	adjective	38	-	front	-	-	-
-	biogeeninen	-	adjective	38	-	front|back	-	-	-
-	biografinen	-	adjective	38	-	back	-	-	-
-	biokemiallinen	-	adjective	38	-	-	-	-	-
-	biologinen	-	adjective	38	-	back	-	-	-
-	biomekaaninen	-	adjective	38	-	-	-	-	-
-	biometrinen	-	adjective	38	-	front|back	-	-	-
-	bioottinen	-	adjective	38	-	-	-	-	-
-	biosidinen	-	adjective	38	-	-	-	-	-
-	biotekninen	-	adjective	38	-	front	-	-	-
-	bisarri	-	adjective	6	-	back	-	-	-
-	biseksuaalinen	-	adjective	38	-	-	-	-	-
-	bissaulainen	-	adjective	38	-	-	-	-	-
