-	evankelioiminen	-	noun	38	-	-	-	-	-
-	eventualiteetti	-	noun	5	tt:t	-	-	-	-
-	evokaatio	-	noun	3	-	-	-	-	-
-	facialispareesi	-	noun	5	-	-	-	-	-
-	fakoskleroosi	-	noun	5	-	-	-	-	-
-	falsifikaatti	-	noun	5	tt:t	-	-	-	-
-	famakogenetiikka	-	noun	9	kk:k	-	-	-	-
-	famiini	-	noun	5	-	-	-	-	-
-	farmakoepidemiologia	-	noun	12	-	-	-	-	-
-	fataliteetti	-	noun	5	tt:t	-	-	-	-
-	favoriitti	-	noun	5	tt:t	-	-	-	-
-	fekoliitti	-	noun	5	tt:t	-	-	-	-
-	femiseksuaalisuus	-	noun	40	-	-	-	-	-
-	fenestraatio	-	noun	3	-	-	-	-	-
-	fennisismi	-	noun	5	-	-	-	-	-
-	fenomenalisti	-	noun	5	-	-	-	-	-
-	fenylketonuria	-	noun	12	-	-	-	-	-
-	festinaatio	-	noun	3	-	-	-	-	-
-	festiviteetti	-	noun	5	tt:t	-	-	-	-
-	fetologia	-	noun	12	-	-	-	-	-
-	fetoskopia	-	noun	12	-	-	-	-	-
-	fibrooma	-	noun	10	-	-	-	-	-
-	figuraatio	-	noun	3	-	-	-	-	-
-	figurismi	-	noun	5	-	-	-	-	-
-	filmologi	-	noun	5	-	-	-	-	-
-	filmologia	-	noun	12	-	-	-	-	-
-	filtraatio	-	noun	3	-	-	-	-	-
-	finaliteetti	-	noun	5	tt:t	-	-	-	-
-	firmamentti	-	noun	5	tt:t	-	-	-	-
-	flagellaatti	-	noun	5	tt:t	-	-	-	-
-	flatulenssi	-	noun	5	-	-	-	-	-
-	flebografia	-	noun	12	-	-	-	-	-
-	floridalainen	-	noun	38	-	-	-	-	-
-	fonokardiografia	-	noun	12	-	-	-	-	-
-	fonometri	-	noun	5	-	-	-	-	-
-	fonotaksia	-	noun	12	-	-	-	-	-
-	formalisaatio	-	noun	3	-	-	-	-	-
-	fosfatointi	-	noun	5	nt:nn	-	-	-	-
-	fotopia	-	noun	12	-	-	-	-	-
-	fotostaatti	-	noun	5	tt:t	-	-	-	-
-	fototeekki	-	noun	5	kk:k	-	-	-	-
-	fraktionalismi	-	noun	5	-	-	-	-	-
-	frankomania	-	noun	12	-	-	-	-	-
-	frenomania	-	noun	12	-	-	-	-	-
-	friktopatia	-	noun	12	-	-	-	-	-
-	fulminaatio	-	noun	3	-	-	-	-	-
-	fundamentti	-	noun	5	tt:t	-	-	-	-
-	funktionalisti	-	noun	5	-	-	-	-	-
-	fusionisti	-	noun	5	-	-	-	-	-
-	fysikalisti	-	noun	5	-	-	-	-	-
-	fysiografi	-	noun	5	-	-	-	-	-
-	galaniini	-	noun	5	-	-	-	-	-
-	galicialainen	-	noun	38	-	-	-	-	-
-	gallisismi	-	noun	5	-	-	-	-	-
-	gallofiili	-	noun	5	-	front|back	-	-	-
-	gallofilia	-	noun	12	-	-	-	-	-
-	gallomaani	-	noun	5	-	-	-	-	-
-	gallomania	-	noun	12	-	-	-	-	-
-	galvanisaatio	-	noun	3	-	-	-	-	-
-	gammapatia	-	noun	12	-	-	-	-	-
-	geniaalius	-	noun	40	-	-	-	-	-
-	genialiteetti	-	noun	5	tt:t	-	-	-	-
-	genooma	-	noun	10	-	-	-	-	-
-	geografi	-	noun	5	-	-	-	-	-
-	germanofiili	-	noun	5	-	front|back	-	-	-
-	germanomaani	-	noun	5	-	-	-	-	-
-	germanomania	-	noun	12	-	-	-	-	-
-	gestaatio	-	noun	3	-	-	-	-	-
-	gestiikka	-	noun	9	kk:k	-	-	-	-
-	gingivektomia	-	noun	12	-	-	-	-	-
-	girantti	-	noun	5	tt:t	-	-	-	-
-	girataari	-	noun	5	-	-	-	-	-
-	glokalisaatio	-	noun	3	-	-	-	-	-
-	glomeruliitti	-	noun	5	tt:t	-	-	-	-
-	glossaari	-	noun	5	-	-	-	-	-
-	glossofaryngeusneuralgia	-	noun	12	-	-	-	-	-
-	glossoptoosi	-	noun	5	-	-	-	-	-
-	glykohemoglobiini	-	noun	5	-	-	-	-	-
-	gnomologia	-	noun	12	-	-	-	-	-
-	golfaaminen	-	noun	38	-	-	-	-	-
-	grammatologia	-	noun	12	-	-	-	-	-
