-	Andrea	-	proper	12	-	-	-	-	-
-	Andreas	-	proper	39|5	-	-	-	-	-
-	Andreea	-	proper	9	-	-	-	-	-
-	Andrei	-	proper	18	-	-	-	-	-
-	Andrej	-	proper	22|?5	-	-	-	-	-
-	Andreja	-	proper	9	-	-	-	-	-
-	Andres	-	proper	5	-	-	-	-	-
-	Andrew	-	proper	22|5	-	-	-	-	-
-	Andri	-	proper	5	-	-	-	-	-
-	Andrii	-	proper	18	-	-	-	-	-
-	Andrija	-	proper	9	-	-	-	-	-
-	Andrus	-	proper	5|39	-	-	-	-	-
-	Andrzej	-	proper	22|?5	-	-	-	-	-
-	András	-	proper	22|?5	-	-	-	-	-
-	André	-	proper	21	-	-	-	-	-
-	Andrés	-	proper	22|?5	-	-	-	-	-
-	Andy	-	proper	1	-	-	-	-	-
-	Ane	-	proper	8	-	-	-	-	-
-	Anette	-	proper	8	-	-	-	-	-
-	Angel	-	proper	6	-	-	-	-	-
-	Angela	-	proper	12	-	-	-	-	-
-	Angelina	-	proper	?13	-	-	-	-	-
-	Angelo	-	proper	2	-	-	-	-	-
-	Angus	-	proper	?39	-	-	-	-	-
-	Anita	-	proper	9	-	-	-	-	-
-	Anitra	-	proper	9	-	-	-	-	-
-	Anitta	-	proper	9	tt:t	-	-	-	-
-	Anja	-	proper	9	-	-	-	-	-
-	Anke	-	proper	8	-	-	-	-	-
-	Ann	-	proper	5	-	-	-	-	-
-	Anna	-	proper	9	-	-	-	-	-
-	Anne	-	proper	8	-	-	-	-	-
-	Anneke	-	proper	8	-	-	-	-	-
-	Anneli	-	proper	6	-	-	-	-	-
-	Annett	-	proper	5	-	-	-	-	-
-	Annette	-	proper	8	-	-	-	-	-
-	Anni	-	proper	5	-	-	-	-	-
-	Annibale	-	proper	8	-	-	-	-	-
-	Annie	-	proper	8|21	-	-	-	-	-
-	Anniina	-	proper	9	-	-	-	-	-
-	Annika	-	proper	13	-	-	-	-	-
-	Annikki	-	proper	5	kk:k	-	-	-	-
-	Annina	-	proper	13	-	-	-	-	-
-	Annu	-	proper	1	-	-	-	-	-
-	Annukka	-	proper	14	kk:k	-	-	-	-
-	Anouk	-	proper	5	-	-	-	-	-
-	Anselm	-	proper	5	-	-	-	-	-
-	Anselmi	-	proper	5	-	-	-	-	-
-	Anssi	-	proper	5	-	-	-	-	-
-	Antal	-	proper	?6	-	-	-	-	-
-	Ante	-	proper	8	-	-	-	-	-
-	Antero	-	proper	2	-	-	-	-	-
-	Anthony	-	proper	1	-	-	-	-	-
-	Antje	-	proper	8	-	-	-	-	-
-	Antoine	-	proper	8	-	-	-	-	-
-	Anton	-	proper	6	-	-	-	-	-
-	Antonella	-	proper	9	-	-	-	-	-
-	Antoni	-	proper	?6	-	-	-	-	-
-	Antonia	-	proper	12	-	-	-	-	-
-	Antonin	-	proper	5	-	-	-	-	-
-	Antonina	-	proper	?13	-	-	-	-	-
-	Antonio	-	proper	3	-	-	-	-	-
-	Antonius	-	proper	39	-	-	-	-	-
-	Antony	-	proper	1	-	-	-	-	-
-	Antonín	-	proper	5	-	-	-	-	-
-	Ants	-	proper	5	-	-	-	-	-
-	Antti	-	proper	5	tt:t	-	-	-	-
-	Antto	-	proper	1	tt:t	-	-	-	-
-	Antton	-	proper	5	-	-	-	-	-
-	Anttoni	-	proper	5	-	-	-	-	-
-	António	-	proper	3	-	-	-	-	-
-	Anu	-	proper	1	-	-	-	-	-
-	Anže	-	proper	8	-	-	-	-	-
-	Arantxa	-	proper	9	-	-	-	-	-
-	Archibald	-	proper	5	-	-	-	-	-
-	Aretha	-	proper	9	-	-	-	-	-
-	Ari	-	proper	5	-	-	-	-	-
-	Ariana	-	proper	9	-	-	-	-	-
-	Arianna	-	proper	9	-	-	-	-	-
-	Arild	-	proper	5	-	-	-	-	-
-	Arin	-	proper	5	-	-	-	-	-
-	Arja	-	proper	9	-	-	-	-	-
-	Arkadi	-	proper	5	-	-	-	-	-
-	Arkadiusz	-	proper	5	-	-	-	-	-
-	Armand	-	proper	5	-	-	-	-	-
