-	LA	-	none	-	-	-	-	symbol	-
-	LAO	-	none	-	-	-	-	symbol	-
-	LB	-	none	-	-	-	-	symbol	-
-	LBN	-	none	-	-	-	-	symbol	-
-	LBR	-	none	-	-	-	-	symbol	-
-	LBY	-	none	-	-	-	-	symbol	-
-	LC	-	none	-	-	-	-	symbol	-
-	LCA	-	none	-	-	-	-	symbol	-
-	LI	-	none	-	-	-	-	symbol	-
-	LIE	-	none	-	-	-	-	symbol	-
-	LK	-	none	-	-	-	-	symbol	-
-	LKA	-	none	-	-	-	-	symbol	-
-	LR	-	none	-	-	-	-	symbol	-
-	LS	-	none	-	-	-	-	symbol	-
-	LSO	-	none	-	-	-	-	symbol	-
-	LT	-	none	-	-	-	-	symbol	-
-	LTU	-	none	-	-	-	-	symbol	-
-	LU	-	none	-	-	-	-	symbol	-
-	LUX	-	none	-	-	-	-	symbol	-
-	LV	-	none	-	-	-	-	symbol	-
-	LVA	-	none	-	-	-	-	symbol	-
-	LY	-	none	-	-	-	-	symbol	-
-	MA	-	none	-	-	-	-	symbol	-
-	MAC	-	none	-	-	-	-	symbol	-
-	MAF	-	none	-	-	-	-	symbol	-
-	MAR	-	none	-	-	-	-	symbol	-
-	MC	-	none	-	-	-	-	symbol	-
-	MCO	-	none	-	-	-	-	symbol	-
-	MD	-	none	-	-	-	-	symbol	-
-	MDA	-	none	-	-	-	-	symbol	-
-	MDG	-	none	-	-	-	-	symbol	-
-	MDV	-	none	-	-	-	-	symbol	-
-	ME	-	none	-	-	-	-	symbol	-
-	MEX	-	none	-	-	-	-	symbol	-
-	MF	-	none	-	-	-	-	symbol	-
-	MG	-	none	-	-	-	-	symbol	-
-	MH	-	none	-	-	-	-	symbol	-
-	MHL	-	none	-	-	-	-	symbol	-
-	MK	-	none	-	-	-	-	symbol	-
-	MKD	-	none	-	-	-	-	symbol	-
-	ML	-	none	-	-	-	-	symbol	-
-	MLI	-	none	-	-	-	-	symbol	-
-	MLT	-	none	-	-	-	-	symbol	-
-	MM	-	none	-	-	-	-	symbol	-
-	MMR	-	none	-	-	-	-	symbol	-
-	MN	-	none	-	-	-	-	symbol	-
-	MNE	-	none	-	-	-	-	symbol	-
-	MNG	-	none	-	-	-	-	symbol	-
-	MNP	-	none	-	-	-	-	symbol	-
-	MO	-	none	-	-	-	-	symbol	-
-	MOZ	-	none	-	-	-	-	symbol	-
-	MP	-	none	-	-	-	-	symbol	-
-	MQ	-	none	-	-	-	-	symbol	-
