-	Halmstad	-	proper	5	-	-	-	-	-
-	Halsua	-	proper	10|12	-	-	-	-	-
-	Hamar	-	proper	6	-	-	-	-	-
-	Hamilton	-	proper	6	-	-	-	-	-
-	Hamina	-	proper	13	-	-	-	-	-
-	Hammarland	-	proper	5	-	-	-	-	-
-	Hammerfest	-	proper	5	-	-	-	-	-
-	Hampton	-	proper	6	-	-	-	-	-
-	Hampuri	-	proper	6	-	-	-	-	-
-	Hanko	-	proper	1	nk:ng	-	-	-	-
-	Hannover	-	proper	6	-	-	-	-	-
-	Hanoi	-	proper	18	-	-	-	-	-
-	Harappa	-	proper	10	-	-	-	-	-
-	Harare	-	proper	8	-	-	-	-	-
-	Harbin	-	proper	5	-	-	-	-	-
-	Harjavalta	-	proper	9	lt:ll	-	-	-	-
-	Harkova	-	proper	10	-	-	-	-	-
-	Harlu	-	proper	1	-	-	-	-	-
-	Harmoinen	-	proper	38-pl	-	-	-	-	-
-	Hartola	-	proper	12	-	-	-	-	-
-	Hastings	-	proper	5	-	-	-	-	-
-	Hattula	-	proper	12	-	-	-	-	-
-	Hauho	-	proper	1	-	-	-	-	-
-	Havanna	-	proper	9	-	-	-	-	-
-	Hedeby	-	proper	21|†1	-	-	-	-	-
-	Heidelberg	-	proper	5	-	-	-	-	-
-	Heinola	-	proper	12	-	-	-	-	-
-	Helsingborg	-	proper	5	-	-	-	-	-
-	Helsingør	-	proper	5	-	-	-	-	-
-	Helsinki	-	proper	5	nk:ng	-	-	-	-
-	Herson	-	proper	6	-	-	-	-	-
-	Hetta	-	proper	9	tt:t	-	-	-	-
-	Hiitola	-	proper	10	-	-	-	-	-
-	Hiittinen	-	proper	38-pl	-	-	-	-	-
-	Hikiä	-	proper	12	-	-	-	-	-
-	Himanka	-	proper	9	-	-	-	-	-
-	Hiroshima	-	proper	9	-	-	-	-	-
-	Hki	-	proper	5	k:g	-	-	abbr	-
-	Ho Chi Minh	-	proper	5	-	-	-	-	-
-	Hollola	-	proper	12	-	-	-	-	-
-	Hollywood	-	proper	5	-	-	-	-	-
-	Hong Kong	-	proper	5	-	-	-	-	-
-	Hongkong	-	proper	5	-	-	-	-	-
-	Honiara	-	proper	9	-	-	-	-	-
-	Honolulu	-	proper	1	-	-	-	-	-
-	Hopsu	-	proper	1	-	-	-	-	-
-	Houston	-	proper	6	-	-	-	-	-
-	Houtskari	-	proper	5	-	-	-	-	-
-	Huittinen	-	proper	38-pl	-	-	-	-	-
-	Hull	-	proper	5	-	-	-	-	-
-	Humppila	-	proper	12	-	-	-	-	-
-	Hyderabad	-	proper	5	-	-	-	-	-
-	Hyrylä	-	proper	12	-	-	-	-	-
-	Hyvinkää	-	proper	18	-	-	-	-	-
-	H’erson	-	proper	6	-	-	-	-	-
-	Iasi	-	proper	5	-	-	-	-	-
-	Iaşi	-	proper	5	-	-	-	-	-
-	Iași	-	proper	5	-	-	-	-	-
-	Ii	-	proper	18	-	-	-	-	-
-	Iittala	-	proper	12	-	-	-	-	-
-	Iitti	-	proper	5	tt:t	-	-	-	-
-	Ikaalinen	-	proper	38-pl	-	-	-	-	-
-	Ilomantsi	-	proper	5	-	-	-	-	-
-	Imatra	-	proper	9	-	-	-	-	-
-	Inari	-	proper	6	-	-	-	-	-
-	Indianapolis	-	proper	39	-	-	-	-	-
-	Iniö	-	proper	3	-	-	-	-	-
-	Inkoo	-	proper	17	-	-	-	-	-
-	Innsbruck	-	proper	5	-	-	-	-	-
-	Ipswitch	-	proper	5	-	-	-	-	-
-	Islamabad	-	proper	5	-	-	-	-	-
-	Istanbul	-	proper	5	-	-	-	-	-
-	Ivalo	-	proper	2	-	-	-	-	-
-	Izmir	-	proper	5	-	-	-	-	-
-	Jaakkima	-	proper	9	-	-	-	-	-
-	Jaala	-	proper	9	-	-	-	-	-
-	Jaffa	-	proper	9	-	-	-	-	-
-	Jakarta	-	proper	9	-	-	-	-	-
-	Jalta	-	proper	9	-	-	-	-	-
-	Jamestown	-	proper	5	-	-	-	-	-
-	Janakkala	-	proper	12	-	-	-	-	-
-	Jaroslavl	-	proper	5	-	-	-	-	-
-	Jedda	-	proper	9	-	-	-	-	-
-	Jekaterinburg	-	proper	5	-	-	-	-	-
-	Jepua	-	proper	12	-	-	-	-	-
-	Jerevan	-	proper	6	-	-	-	-	-
-	Jeriko	-	proper	2	-	-	-	-	-
-	Jerusalem	-	proper	5	-	-	-	-	-
-	Jinan	-	proper	6	-	-	-	-	-
-	Johannes	-	proper	39	-	-	-	-	-
-	Johannesburg	-	proper	5	-	-	-	-	-
-	Jokioinen	-	proper	38-pl	-	-	-	-	-
-	Jokohama	-	proper	9	-	-	-	-	-
-	Jomala	-	proper	10|12	-	-	-	-	-
-	Joroinen	-	proper	38-pl	-	-	-	-	-
-	Jorvas	-	proper	39	-	-	-	-	-
-	Joutsa	-	proper	10	-	-	-	-	-
-	Joutseno	-	proper	2	-	-	-	-	-
-	Juba	-	proper	10	-	-	-	-	-
-	Jurva	-	proper	10	-	-	-	-	-
-	Juuka	-	proper	10	k:	-	-	-	-
-	Juva	-	proper	10	-	-	-	-	-
-	Jämsä	-	proper	10	-	-	-	-	-
-	Jäppilä	-	proper	12	-	-	-	-	-
-	Jääski	-	proper	7	-	-	-	-	-
-	Jönkoping	-	proper	5	-	-	-	-	-
-	Kaamanen	-	proper	38	-	-	-	-	-
-	Kaaresuvanto	-	proper	1	-	-	-	-	-
-	Kaarina	-	proper	13	-	-	-	-	-
-	Kaarlela	-	proper	13	-	-	-	-	-
-	Kaavi	-	proper	5	-	-	-	-	-
-	Kabul	-	proper	5	-	-	-	-	-
-	Kaipola	-	proper	12	-	-	-	-	-
-	Kairo	-	proper	1	-	-	-	-	-
